identificador;asignatura;anho;convocatoria;tipoexam;puntaje
05c4a7ed0fa9b5b805a05124faaa1fd9;LENGUAJES DE PROGRAMACION III;2014;1;2F   ;68
469933c89c720573e634543035ff6242;ESTRUCTURA DE LOS LENGUAJES;2014;1;2F   ;70
05c4a7ed0fa9b5b805a05124faaa1fd9;TECNICAS DE ORGANIZACION Y METODOS;2014;1;1F   ;100
6382b1ef2aeda6b06d756259d46d0094;EXPRESION ORAL Y ESCRITA;2014;1;1F   ;40
ca87f55c0b53232fb5e7ef58fc8c6c01;CALCULO III;2014;1;1F   ;55
bed9b3e3f92672cbc3ff502c1425dad2;FISICA 4;2014;1;1F   ;68
d1cd699b3e4b1a889ff47cd8983b32b0;INGENIERIA DE SOFTWARE II;2014;1;1F   ;80
d72e4cc1b89ff6bf6b3159feab45b94d;INGENIERIA DE SOFTWARE II;2014;1;1F   ;89
d1cd699b3e4b1a889ff47cd8983b32b0;INVESTIGACION DE OPERACIONES II;2014;1;1F   ;95
85369b904b6b6dbfd6cf130b737b9f54;INVESTIGACION DE OPERACIONES II;2014;1;2F   ;90
d1cd699b3e4b1a889ff47cd8983b32b0;MATEMATICA APLICADA;2014;1;1F   ;75
dc1178031b47f4336fba3aa9f20c58e6;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS I;2014;1;1F   ;70
ca87f55c0b53232fb5e7ef58fc8c6c01;INVESTIGACION DE OPERACIONES I;2014;1;2F   ;48
ff42a45213a8e8f4b0d7c90e53338b3c;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS II;2014;1;1F   ;98
d1cd699b3e4b1a889ff47cd8983b32b0;ADMINISTRACION GUBERNAMENTAL;2014;1;1F   ;100
a133391cbe0f5470b390e880b51fd6b0;MARKETING;2014;1;2F   ;90
05c4a7ed0fa9b5b805a05124faaa1fd9;FISICA 3;2014;1;2F   ;100
bce4f9acb6068975c836f8d1541192c4;DESEMPEÑO Y SEGURIDAD EN LAS REDES;2014;1;2F   ;79
88ac021e5e7744410aa898cd7124212f;EMPRENDEDORISMO;2014;1;1F   ;64
1bf13e36f988ab1aff2957bb08b6b1ff;MARKETING;2014;1;2F   ;85
88ac021e5e7744410aa898cd7124212f;EXPRESION ORAL Y ESCRITA;2014;1;1F   ;80
f589d72a8624700888248288b01f23f3;EXPRESION ORAL Y ESCRITA;2014;1;2F   ;70
88ac021e5e7744410aa898cd7124212f;ALGORITMOS Y ESTRUCTURA DE DATOS I;2014;1;2F   ;90
d7fc2ef8547e53f00c3eeaf8f8ee7c09;INTELIGENCIA ARTIFICIAL;2014;1;1F   ;58
88ac021e5e7744410aa898cd7124212f;MATEMATICA DISCRETA;2014;1;2F   ;47
95a90cf89de6459e0ae448015edbd5f2;ALGORITMOS Y ESTRUCTURA DE DATOS III;2014;1;1F   ;67
